subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,arroz_BRAZO,3,español_no,605,Cz,0.3,0.5,-9.439773504971525,0,esp
001,arroz_BRAZO,3,español_no,605,Cz,0.5,0.8,-10.643113670391804,0,esp
001,arroz_BRAZO,3,español_no,605,Pz,0.3,0.5,-14.742448815681898,0,esp
001,arroz_BRAZO,3,español_no,605,Pz,0.5,0.8,-14.862982664181875,0,esp
001,pájaro_HE'Ẽ,2,reciente_no,328,Cz,0.3,0.5,-0.6731557472107502,0,rec
001,pájaro_HE'Ẽ,2,reciente_no,328,Cz,0.5,0.8,1.4678893765361096,0,rec
001,pájaro_HE'Ẽ,2,reciente_no,328,Pz,0.3,0.5,2.3659049903687377,0,rec
001,pájaro_HE'Ẽ,2,reciente_no,328,Pz,0.5,0.8,1.2397972668864226,0,rec
001,lapicera_CARA,3,español_no,328,Cz,0.3,0.5,2.2472018158922973,0,esp
001,lapicera_CARA,3,español_no,328,Cz,0.5,0.8,3.8073887285684047,0,esp
001,lapicera_CARA,3,español_no,328,Pz,0.3,0.5,-3.319571887357876,0,esp
001,lapicera_CARA,3,español_no,328,Pz,0.5,0.8,-3.629827191050236,0,esp
001,mujer_KA'ARU,1,remoto_no,396,Cz,0.3,0.5,3.4517692267321634,0,rem
001,mujer_KA'ARU,1,remoto_no,396,Cz,0.5,0.8,1.08828570754814,0,rem
001,mujer_KA'ARU,1,remoto_no,396,Pz,0.3,0.5,1.452478548225302,0,rem
001,mujer_KA'ARU,1,remoto_no,396,Pz,0.5,0.8,-4.428274837839098,0,rem
001,cráneo_CABEZA,6,español_si,320,Cz,0.3,0.5,2.8269247787718017,1,esp
001,cráneo_CABEZA,6,español_si,320,Cz,0.5,0.8,0.13581927122759377,1,esp
001,cráneo_CABEZA,6,español_si,320,Pz,0.3,0.5,2.0964188746248307,1,esp
001,cráneo_CABEZA,6,español_si,320,Pz,0.5,0.8,-1.9526404044647445,1,esp
001,zócalo_MANO,3,español_no,388,Cz,0.3,0.5,1.737416714859696,0,esp
001,zócalo_MANO,3,español_no,388,Cz,0.5,0.8,-1.5507143392830407,0,esp
001,zócalo_MANO,3,español_no,388,Pz,0.3,0.5,1.3368982604633157,0,esp
001,zócalo_MANO,3,español_no,388,Pz,0.5,0.8,-2.9426581343892315,0,esp
001,núcleo_ASAJE,1,remoto_no,388,Cz,0.3,0.5,2.043850054606222,0,rem
